세부사업 코드,세부사업명,기관,지역,구분,분야(추정),성격,예산현액(억 원),집행액(억 원),온통청년 대응,대응 정책번호,대응 정책명,가장 가까운 후보,후보 유사도
086-239-2600-2645-300,맞춤형 국가장학금 지원,교육부,중앙,중앙,교육·역량,대상자 지원,51160.57,51160.57,찾지 못함,,,국가근로장학금,0.667
019-110-1000-1043-301,청년일자리창출지원,고용노동부,중앙,중앙,취업·일경험,대상자 지원,9251.26,6612.0,있음,20260716005400113260,청년일자리도약장려금,방위산업 전문인력 양성 지원사업,0.8
079-110-1800-1831-891,청년미래적금,금융위원회,중앙,중앙,금융·생활안정,대상자 지원,7446.51,1552.79,있음,20260605005400113228,청년미래적금,청년미래적금,1.0
019-110-1000-1051-305,청년취업진로 및 일경험 지원,고용노동부,중앙,중앙,취업·일경험,대상자 지원,3011.77,2390.05,있음,20250123005400110394,미래내일 일경험 사업,청년장병 취·창업 지원 강화,0.571
61100002017307C8,청년 매입임대,서울본청,서울,지방,주거,대상자 지원,1491.66,1491.66,있음,,,청년 매입임대주택 사업,1.02
095-110-1000-1034-311,청년월세지원,국토교통부,중앙,중앙,주거,대상자 지원,1299.89,921.53,있음,20260319005400112218,(국토부) 26년 청년월세 지원사업,(국토부) 26년 청년월세 지원사업,0.8
079-110-1800-1831-882,서민금융진흥원 출연(청년도약계좌),금융위원회,중앙,중앙,금융·생활안정,대상자 지원,1241.85,371.33,있음,20250618005400111001,청년 자산형성 지원(청년도약계좌),,
6110000201730102,청년안심주택 매입,서울본청,서울,지방,주거,기타,1232.09,1101.91,있음,,,청년안심주택 공급(매입),0.87
019-110-1000-1032-303,청년고용지원인프라 운영,고용노동부,중앙,중앙,취업·일경험,대상자 지원,1074.1,1062.22,있음,20260907005400213379,대학일자리플러스센터 지원 사업,공공기관 청년인턴 운영,0.476
089-236-1100-1120-300,청년농업인영농정착지원(자율),농림축산식품부,중앙,중앙,창업·농어업,대상자 지원,961.18,947.94,있음,20250724005400111489,청년농업인 영농정착지원사업,해외취업정착지원금,0.5
6110000202030001,신혼부부청년등 임차보증금 이자지원,서울본청,서울,지방,주거,대상자 지원,712.86,469.84,있음,,,신혼부부 청년 임차보증금 지원사업,1.0
162-110-2200-2240-300,우수학생 국가장학금지원,과학기술정보통신부,중앙,중앙,교육·역량,대상자 지원,697.86,568.97,찾지 못함,,,국가근로장학금,0.625
64100002019301C6,경기도 청년기본소득(자체/지원),경기본청,경기,지방,금융·생활안정,대상자 지원,605.75,436.14,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
611000020223034D,국토부 청년월세 지원,서울본청,서울,지방,주거,대상자 지원,596.0,232.27,있음,,,(국토부) 26년 청년월세 지원사업,0.9
6110000201630534,서울 청년수당,서울본청,서울,지방,금융·생활안정,대상자 지원,581.11,382.97,있음,,,서울 청년수당,0.92
61100002026302C4,청년안심주택 SH 선매입,서울본청,서울,지방,주거,기타,501.24,501.24,있음,,,청년안심주택 공급(매입),0.752
61100002021300DF,청년취업사관학교 조성 및 운영,서울본청,서울,지방,교육·역량,기반·운영,457.63,341.67,찾지 못함,,,청년예술청 운영,0.52
