서비스ID,서비스명,소관기관,분야,지원유형,대상 연령(최소),대상 연령(최대),청년 관련 근거,보조금24 주소
116010000001,주택금융공사 월세자금보증,한국주택금융공사,주거·자립,기타||상담/법률지원,19,35,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/116010000001
119200000176,해양문화행사 및 해양영토 대장정,해양수산부,문화·환경,기타||문화/여가지원,,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000176
129000000013,전역예정군인 재취업 지원,국방부,고용·창업,상담/법률지원||서비스(일자리),18,32,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/129000000013
129000000015,전역예정장병 취업활동지원,국방부,고용·창업,서비스(일자리),18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/129000000015
129000000081,맞춤형 e북 지원,국방부,보육·교육,현금,18,37,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/129000000081
134200000046,중소기업 취업연계 장학금 (희망사다리Ⅰ유형),교육부,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/134200000046
134200005002,국가장학금 Ⅱ유형 (대학자체노력연계형),교육부,보육·교육,현금(장학금),18,34,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/134200005002
135200000099,군인 금연 지원,보건복지부,보건·의료,서비스(의료)||의료지원,18,31,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/135200000099
135200005002,긴급복지 해산비 지원,보건복지부,생활안정,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/135200005002
135200005013,자산형성지원사업(청년내일저축계좌),보건복지부,주거·자립,현금,15,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/135200005013
137100000032,문화로 치유 지원,문화체육관광부,문화·환경,기타(교육),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/137100000032
137100000217,글로벌 광고인재 육성,문화체육관광부,문화·환경,기타(교육),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/137100000217
138300000009,결혼이민예정자 현지사전교육 지원,성평등가족부,보육·교육,기타(교육),18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/138300000009
138300000020,폭력 피해 이주여성 보호시설 운영 지원,성평등가족부,보호·돌봄,기타,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/138300000020
138300000055,경력보유여성 등 취업지원,성평등가족부,고용·창업,서비스(일자리),18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/138300000055
140000000177,산림복지진흥원이 운영하는 산림복지시설의 산림복지소외자 지원,산림청,문화·환경,기타||문화/여가지원,,,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/140000000177
142000000085,중소기업 인식개선 교육 등,중소벤처기업부,고용·창업,기타(교육),19,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/142000000085
142100000037,청년상인 육성 지원,중소벤처기업부,고용·창업,기타(교육),,,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/142100000037
148000000003,중소환경기업 사업화 지원,기후에너지환경부,문화·환경,현금,,,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/148000000003
149200000032,장애인 직업 능력 개발 지원,고용노동부,고용·창업,현금,15,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000032
149200000041,중장년내일센터,고용노동부,고용·창업,서비스(일자리),40,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000041
149200000092,구직자 취업지원 서비스 제공,고용노동부,고용·창업,상담/법률지원||서비스(일자리),18,60,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000092
149200000146,심리안정지원 프로그램,고용노동부,고용·창업,기타(상담)||상담/법률지원||서비스(일자리),18,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000146
149200005001,직업능력개발수당,고용노동부,고용·창업,현금,19,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200005001
149200005002,광역구직활동비,고용노동부,고용·창업,현금,19,65,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200005002
