온통청년 정책번호,정책명,소관기관,지역,분야,신청상태,기본계획 과제번호,보조금24 서비스ID,보조금24 연결 방식,이어지는 세부사업 코드,이어지는 세부사업명,연결 예산현액(억 원),같은 사업의 다른 등록
20250211005400110419,(국민연금) 실업크레딧 지원,고용노동부,중앙,취업·일경험,마감,1차 1-4-8,B55201500004,이름 대조(신뢰도 중간),,,,
20260921005400113470,(국토교통 청년소통채널 운영) 2030 청년자문단,국토교통부,중앙,참여·권리,마감,2차 5-15-58,,,,,,
20260921005400113476,(국토교통 청년소통채널 운영) 청년온라인패널,국토교통부,중앙,참여·권리,마감,2차 5-15-58,,,,,,
20260319005400112218,(국토부) 26년 청년월세 지원사업,국토교통부,중앙,주거,마감,2차 3-9-30,161300000099,이름 대조(신뢰도 중간),095-110-1000-1034-311,청년월세지원,1299.89,
20260528005400113227,(농식품부) 농식품 바우처,농림축산식품부,중앙,문화·건강,진행중,2차 4-13-50,B55284500010,이름 대조(신뢰도 중간),,,,
20260528005400113226,(문체부) 청년예술인 예술활동 적립계좌,문화체육관광부,중앙,문화·건강,상시,2차 4-14-52,,,,,,
20260415005400112751,(복지부) 26년 정신건강 심리상담 바우처사업,보건복지부,중앙,문화·건강,진행중,2차 4-13-46,,,,,,
20250618005400111034,(신규)건축구조기사 양성,국토교통부,중앙,교육·역량,마감,1차 3-9-21,,,,,,
20250619005400111075,(청년 금융교육 지원) e-금융교육센터 재무상담 사례 게시판,금융감독원,중앙,교육·역량,마감,1차 3-12-29,,,,,,
20250619005400111066,(청년 금융교육 지원) 대학 실용금융 강좌,금융감독원,중앙,교육·역량,마감,1차 3-12-31,,,,,,
20250619005400111072,(청년 금융교육 지원) 대학 실용금융 강좌 온라인(K-MOOC) 개설,금융감독원,중앙,교육·역량,마감,1차 3-12-29,,,,,,
20250619005400111070,(청년 금융교육 지원) 대학생 금융교육봉사단,금융감독원,중앙,교육·역량,마감,1차 3-11-28,,,,,,
20250619005400111073,(청년 금융교육 지원) 청년층을 위한 실전 재무설계 온라인 동영상,금융감독원,중앙,교육·역량,마감,1차 3-12-29,,,,,,
20250617005400110997,1인 광고콘텐츠 창작자 지원,문화체육관광부,중앙,문화·건강,마감,1차 4-16-43,,,,,,
20250613005400110925,1인 미디어 창작자 및 스타트업 지원,방송진흥정책관,중앙,창업·농어업,마감,1차 1-2-5,,,,,,
20250901005400111543,1인 창조기업 지원센터 운영,중소벤처기업부,중앙,창업·농어업,마감,1차 1-2-5,142000000001,이름 대조(신뢰도 높음),,,,
20250107005400110063,2025년 국가유산 산업 인턴 지원 사업,국가유산진흥원,중앙,취업·일경험,마감,1차 1-1-1,,,,,,
20250107005400110060,2025년 매장유산 미정리유물 보존 및 활용사업,청장,중앙,취업·일경험,마감,1차 1-1-1,,,,,,
